,word,label
397,nki,as
398,jodi,as
399,dekha,as
400,tente,as
401,lukor,as
402,like,en
403,comment,en
404,le,as
405,akha,as
406,nkoriba,as
407,aru,as
408,jodi,as
409,nedekha,as
410,nijoke,as
411,like,en
412,kribo,as
413,hika,as
414,weldon,en
415,didi,as
416,sudirvai,as
417,moi,as
418,fake,en
419,nohoi,as
420,buli,as
421,koiso,as
422,akou,as
423,olotake,as
424,mokei,as
425,dalal,as
426,buli,as
427,koiso,as
428,sala,as
429,bahanchud,as
430,rendir,as
431,putek,as
432,makchuda,as
433,congratulations,en
434,tanisha,as
435,hope,en
436,wimbledon,as
437,t,as
438,assamr,as
439,name,en
440,ujolai,as
441,tuliba,as
442,n,as
443,may,en
444,god,en
445,bless,en
446,u,en
447,thike,as
448,koise,as
449,apuni,as
450,but,en
451,alp,as
452,long,en
453,hoise,as
454,sarba,as
455,da,as
456,what,en
457,will,en
458,happen,en
459,about,en
460,flood,en
461,eroson,as
462,flood,en
463,as,en
464,national,en
465,calamity,en
466,killing,en
467,of,en
468,rhino,en
469,and,en
470,activity,en
471,on,en
472,imdt,en
473,and,en
474,incomplete,en
475,central,en
476,projects,en
477,and,en
478,above,en
479,all,en
480,corruption,en
481,state,en
482,t,as
483,bjp,ne
484,centralot,as
485,bjp,ne
486,tathapi,as
487,dled,en
488,samosyatu,as
489,thik,as
490,koribo,as
491,pora,as
492,nai,as
493,eikhon,as
494,sarkare,as
495,nibonuwa,as
496,samosya,as
497,kenekoi,as
498,atarab,as
499,word,en
500,less,en
501,govt,en
502,it,en
503,is,en
504,right,en
505,now,en
506,majulian,as
507,need,en
508,basic,en
509,facilities,en
510,such,en
511,as,en
512,proper,en
513,road,en
514,connectivity,en
515,hospital,en
516,improvement,en
517,in,en
518,mobile,en
519,networks,en
520,banking,en
521,sector,en
522,etc,en
523,than,en
524,spirituality,en
525,corruption,en
526,is,en
527,the,en
528,biggest,en
529,problem,en
530,in,en
531,majuli,ne
532,than,en
533,losing,en
534,faith,en
535,in,en
536,spirituality,en
537,a,en
538,person,en
539,in,en
540,mumbai,ne
541,received,en
542,these,en
543,washed,en
544,out,en
545,notes,en
546,at,en
547,an,en
548,hdfc,en
549,atm,en
550,in,en
551,mumbai,ne
552,while,en
553,demonetization,en
554,may,en
555,have,en
556,been,en
557,initially,en
558,a,en
559,good,en
560,scheme,en
561,the,en
562,execution,en
563,by,en
564,the,en
565,finance,en
566,ministry,en
567,and,en
568,the,en
569,rbi,en
570,is,en
571,starting,en
572,to,en
573,get,en
574,more,en
575,and,en
576,more,en
577,embarrassing,en
578,dear,en
579,sir,en
580,in,en
581,your,en
582,maximum,en
583,departments,en
584,heads,en
585,are,en
586,unskilled,en
587,please,en
588,take,en
589,some,en
590,special,en
591,measures,en
592,to,en
593,make,en
594,them,en
595,skilled,en
596,specifically,en
597,in,en
598,roads,en
599,agricultural,en
600,irrigation,en
601,industrial,en
602,and,en
603,commerce,en
604,power,en
605,and,en
606,many,en
607,more,en
608,regards,en
609,ki,as
610,lekha,as
611,ki,as
612,bey,as
613,ghyt,as
614,city,en
615,bus,en
616,bur,as
617,ki,as
618,hol,as
619,eman,as
620,bhir,as
621,j,as
622,trkker,as
623,buru,as
624,nai,as
625,election,en
626,khelibo,as
627,kunuba,as
628,a,en
629,jikibo,as
630,kunuba,as
631,a,en
632,aru,as
633,rod,as
634,khonot,as
635,bus,en
636,trkr,en
637,krne,as
638,rokhi,as
639,rokhi,as
640,mori,as
641,thak,as
642,kunubai,as
643,system,en
644,aibur,as
645,fuck,en
646,off,en
647,bey,as
648,rogers,as
649,aji,as
650,tu,as
651,jalukbaarit,as
652,mela,as
653,lagi,as
654,goise,as
655,bus,en
656,rokhi,as
657,thoka,as
658,manuhor,as
659,busor,as
660,bhitorotu,as
661,manuh,as
662,uporotu,as
663,manuh,as
664,ki,as
665,ghoti,as
666,tu,as
667,dise,as
668,aku,as
669,dl,as
670,koribo,as
671,nai,as
672,pra,as
673,shri,as
674,razvee,as
675,s,as
676,hussain,as
677,acs,en
678,adc,en
679,dhubri,ne
680,receives,en
681,his,en
682,nrc,ne
683,acknowledgement,en
684,receipt,en
685,after,en
686,submission,en
687,through,en
688,nrc,ne
689,e,as
690,form,en
691,facility,en
692,today,en
693,well,en
694,some,en
695,cant,en
696,handle,en
697,windows,en
698,phones,en
699,only,en
700,they,en
701,cry,en
702,i,en
703,guess,en
704,i,en
705,have,en
706,been,en
707,using,en
708,windows,en
709,phones,en
710,since,en
711,the,en
712,days,en
713,of,en
714,wp,en
715,never,en
716,changed,en
717,my,en
718,mind,en
719,chup,as
720,bey,as
721,ji,as
722,pao,as
723,take,en
724,di,as
725,thako,as
726,facebookt,en
727,clash,en
728,of,en
729,clan,en
730,khel,as
731,fb,en
732,pahori,as
733,jabi,as
734,beleg,as
735,naiey,as
736,mane,as
737,eku,as
738,dibo,as
739,iman,as
740,problem,en
741,judi,as
742,suali,as
743,pota,as
744,ki,as
745,khbr,as
746,mi,as
747,mora,as
748,a,en
749,nai,as
750,nki,as
751,moi,as
752,vabilu,as
753,mi,as
754,morisa,as
755,aji,as
756,kunba,as
757,swt,en
758,swt,en
759,admn,en
760,ahbo,as
761,bt,en
762,nope,en
763,mangalyan,as
764,mars,en
765,palei,as
766,goi,as
767,nki,as
768,male,en
769,alien,en
770,e,as
771,cnfessn,en
772,kora,as
773,jn,as
774,lagise,as
775,kundin,as
776,milbay,as
777,mla,en
778,songe,as
779,hope,en
780,to,en
781,see,en
782,good,en
783,results,en
784,u,en
785,r,as
786,ryt,as
787,admin,en
788,social,en
789,syt,as
790,smtym,en
791,kill,en
792,relasnsps,en
793,bt,en
794,its,en
795,ols,en
796,tru,as
797,dat,en
798,if,en
799,d,as
800,feelngs,en
801,r,as
802,honest,en
803,n,en
804,loyal,en
805,den,as
806,fcbokng,as
807,or,as
808,orkutng,as
809,dnt,en
810,mk,en
811,a,en
812,huge,en
813,diffrnce,en
814,bjp,ne
815,re,en
816,vote,en
817,dewa,as
818,ta,as
819,amader,as
820,bul,as
821,hoy,as
822,ce,as
823,so,en
824,mr,en
825,ratan,as
826,dhar,as
827,using,en
828,assamese,en
829,in,en
830,our,en
831,own,en
832,state,en
833,assam,ne
834,doesnt,en
835,qualify,en
836,us,en
837,as,en
838,indians,en
839,huh,as
840,that,en
841,means,en
842,being,en
843,an,en
844,assamese,en
845,doesn,en
846,t,as
847,mean,en
848,you,en
849,are,en
850,inherently,en
851,naturally,en
852,indian,en
853,right,en
854,man,as
855,o,as
856,man,as
857,you,en
858,guys,en
859,are,en
860,lighting,en
861,your,en
862,own,en
863,pyre,en
864,with,en
865,your,en
866,own,en
867,actions,en
868,really,en
869,really,en
870,pity,en
871,you,en
872,jai,as
873,hind,ne
874,dile,as
875,o,as
876,next,en
877,education,en
878,minister,en
879,a,en
880,amrar,as
881,job,en
882,dibo,as
883,de,as
884,na,as
885,te,as
886,lol,as
887,hbs,en
888,a,en
889,amk,as
890,koi,as
891,ase,as
892,jimi,as
893,aa,as
894,ja,as
895,jimi,as
896,jimi,as
897,aa,as
898,ja,as
899,thik,as
900,anekoi,as
901,top,en
902,di,as
903,ase,as
904,do,en
905,yau,as
906,see,en
907,that,en
908,tiger,en
909,o,as
910,o,as
911,i,en
912,am,en
913,kill,en
914,her,en
915,d,as
916,see,en
917,was,en
918,sleep,en
919,and,en
920,i,en
921,shot,en
922,him,en
923,with,en
924,mai,as
925,owan,as
926,hand,en
927,o,as
928,vary,en
929,difficalt,en
930,police,en
931,is,en
932,looki,as
933,for,en
934,me,as
935,but,en
936,i,en
937,am,en
938,in,en
939,jangle,en
940,seriously,en
941,man,as
942,this,en
943,guy,en
944,has,en
945,a,en
946,talent,en
947,photoshop,en
948,ka,as
949,maa,as
950,behen,as
951,to,en
952,kiya,as
953,hi,as
954,he,as
955,aur,as
956,english,en
957,ko,as
958,v,as
959,chora,as
960,nahi,as
961,dear,en
962,sir,en
963,there,en
964,are,en
965,some,en
966,teachers,en
967,who,en
968,had,en
969,joined,en
970,after,en
971,and,en
972,we,en
973,are,en
974,performing,en
975,our,en
976,duties,en
977,sincerely,en
978,and,en
979,regularly,en
980,due,en
981,to,en
982,the,en
983,act,en
984,the,en
985,assam,ne
986,venture,en
987,educational,en
988,institutions,en
989,act,en
990,and,en
991,amended,en
992,act,en
993,our,en
994,employment,en
995,has,en
996,not,en
997,provincialised,en
998,yet,en
999,but,en
1000,we,en
1001,are,en
1002,qualified,en
1003,from,en
1004,every,en
1005,angles,en
1006,so,en
1007,kindly,en
1008,consider,en
1009,under,en
1010,section,en
1011,clause,en
1012,h,en
1013,of,en
1014,this,en
1015,act,en
1016,humble,en
1017,request,en
1018,to,en
1019,you,en
1020,kindly,en
1021,consider,en
1022,this,en
1023,serious,en
1024,matter,en
1025,bya,as
1026,mne,as
1027,nkba,as
1028,ru,as
1029,aji,as
1030,sage,en
1031,horliks,en
1032,a,en
1033,khbo,as
1034,lgbo,as
1035,ekdm,en
1036,sattai,as
1037,dledr,en
1038,gaan,as
1039,gailen,as
1040,eto,as
1041,din,as
1042,r,as
1043,ekhn,as
1044,tet,as
1045,pass,en
1046,kore,as
1047,dled,en
1048,thekeo,as
1049,job,en
1050,nei,as
1051,r,as
1052,amr,as
1053,moto,as
1054,onek,as
1055,achi,as
1056,cntrctul,en
1057,dled,en
1058,o,as
1059,cmplete,en
1060,but,en
1061,vacant,en
1062,pst,as
1063,nei,as
1064,generl,as
1065,obc,en
1066,sobaik,as
1067,ekta,as
1068,reqst,en
1069,korchi,as
1070,borak,as
1071,velly,en
1072,te,as
1073,jeno,as
1074,asomiyader,as
1075,dukhte,as
1076,deba,as
1077,hoi,as
1078,na,as
1079,seta,as
1080,bondho,as
1081,kora,as
1082,houk,as
1083,borak,as
1084,er,as
1085,candidate,en
1086,pore,as
1087,thakte,as
1088,baire,as
1089,theke,as
1090,keno,as
1091,ashbe,as
1092,welcome,en
1093,mr,en
1094,banner,en
1095,hope,en
1096,for,en
1097,a,en
1098,great,en
1099,time,en
1100,with,en
1101,you,en
1102,is,en
1103,there,en
1104,any,en
1105,documnt,as
1106,needed,en
1107,for,en
1108,my,en
1109,mom,en
1110,my,en
1111,mom,en
1112,having,en
1113,charactr,en
1114,certificate,en
1115,of,en
1116,cls,en
1117,x,en
1118,this,en
1119,will,en
1120,enough,en
1121,or,as
1122,wat,as
1123,or,as
1124,needed,en
1125,any,en
1126,other,en
1127,certificate,en
1128,lyk,as
1129,margie,as
1130,certificate,en
1131,but,en
1132,cant,en
1133,we,en
1134,driver,en
1135,be,en
1136,little,en
1137,care,en
1138,ful,as
1139,jst,en
1140,slow,en
1141,down,en
1142,the,en
1143,speed,en
1144,or,as
1145,use,en
1146,break,en
1147,rather,en
1148,then,en
1149,running,en
1150,over,en
1151,them,en
1152,t,as
1153,vt,en
1154,salu,as
1155,happy,en
1156,bihu,as
1157,sir,en
1158,admin,en
1159,tumi,as
1160,a,en
1161,mithun,as
1162,dia,as
1163,tumi,as
1164,sob,as
1165,jana,as
1166,insult,en
1167,sobe,as
1168,dbo,as
1169,jane,as
1170,n,as
1171,ktha,as
1172,ata,as
1173,jana,as
1174,agi,as
1175,leke,as
1176,india,as
1177,qualify,en
1178,k,as
1179,hoa,as
1180,nai,as
1181,so,en
1182,it,en
1183,s,as
1184,lyk,as
1185,we,en
1186,r,as
1187,nt,en
1188,eligible,en
1189,to,en
1190,insult,en
1191,brazil,as
1192,tabo,as
1193,hbs,en
1194,log,en
1195,koira,as
1196,dekano,as
1197,darkar,as
1198,aga,as
1199,relx,en
1200,oijawk,as
1201,ar,as
1202,kora,as
1203,oibona,as
1204,toi,as
1205,a,en
1206,bhal,as
1207,post,en
1208,ata,as
1209,de,as
1210,ten,en
1211,te,as
1212,deka,as
1213,https,en
1214,m,as
1215,facebook,en
1216,com,as
1217,story,en
1218,php,en
1219,story,en
1220,fbid,en
1221,id,en
1222,see,en
1223,the,en
1224,reality,en
1225,balor,as
1226,balor,as
1227,balor,as
1228,misa,as
1229,koi,as
1230,kidal,as
1231,hbo,ne
1232,dts,en
1233,d,as
1234,face,en
1235,of,en
1236,music,en
1237,good,en
1238,night,en
1239,tet,as
1240,pass,en
1241,candt,en
1242,kobey,as
1243,je,as
1244,ded,as
1245,pass,en
1246,hobey,as
1247,r,as
1248,kobry,as
1249,je,as
1250,job,en
1251,pavo,as
1252,ekmatro,as
1253,hbs,en
1254,janay,as
1255,himanta,as
1256,beimaan,as
1257,hello,en
1258,bndhu,as
1259,misa,as
1260,kotha,as
1261,kio,as
1262,kua,as
1263,ktyba,as
1264,lg,as
1265,ple,as
1266,dm,en
1267,bpke,as
1268,mja,as
1269,deputy,en
1270,commissioner,en
1271,sonitpur,ne
1272,ms,en
1273,laya,as
1274,madduri,as
1275,carried,en
1276,out,en
1277,a,en
1278,random,en
1279,quality,en
1280,check,en
1281,inspection,en
1282,of,en
1283,field,en
1284,verification,en
1285,reports,en
1286,at,en
1287,various,en
1288,nrc,ne
1289,seva,as
1290,kendras,en
1291,under,en
1292,naduar,as
1293,circle,en
1294,over,en
1295,the,en
1296,last,en
1297,week,en
1298,sir,en
1299,pls,en
1300,ek,as
1301,appointment,en
1302,dijiye,as
1303,aapse,as
1304,milne,as
1305,ki,as
1306,raju,as
1307,das,as
1308,karimganj,ne
1309,assam,ne
1310,well,en
1311,done,en
1312,ma,as
1313,m,as
1314,but,en
1315,what,en
1316,is,en
1317,the,en
1318,tentative,en
1319,date,en
1320,to,en
1321,start,en
1322,the,en
1323,bg,en
1324,bjp,ne
1325,government,en
1326,in,en
1327,assam,ne
1328,what,en
1329,a,en
1330,nonsense,en
1331,but,en
1332,if,en
1333,you,en
1334,expect,en
1335,to,en
1336,see,en
1337,bjp,ne
1338,c,en
1339,m,as
1340,then,en
1341,please,en
1342,wait,en
1343,n,en
1344,would,en
1345,able,en
1346,see,en
1347,after,en
1348,years,en
1349,but,en
1350,sorry,en
1351,to,en
1352,say,en
1353,in,en
1354,those,en
1355,time,en
1356,c,en
1357,m,as
1358,would,en
1359,come,en
1360,from,en
1361,aiudf,en
1362,or,as
1363,in,en
1364,dis,as
1365,similar,en
1366,yrs,en
1367,le,as
1368,extend,en
1369,hok,as
1370,janu,as
1371,she,as
1372,may,en
1373,not,en
1374,be,en
1375,a,en
1376,follower,en
1377,of,en
1378,cricket,en
1379,simple,en
1380,hare,as
1381,krishna,as
1382,sir,en
1383,today,en
1384,you,en
1385,have,en
1386,meet,en
1387,with,en
1388,most,en
1389,corrupted,en
1390,team,en
1391,apsc,en
1392,only,en
1393,god,en
1394,s,as
1395,know,en
1396,how,en
1397,they,en
1398,become,en
1399,trasparent,en
1400,they,en
1401,will,en
1402,not,en
1403,correct,en
1404,sob,as
1405,ka,as
1406,sath,as
1407,sob,as
1408,ka,as
1409,bikash,as
1410,mojbud,as
1411,koro,as
1412,congress,ne
1413,ka,as
1414,hath,en
1415,cntractual,en
1416,bilake,as
1417,lp,en
1418,upt,en
1419,aply,en
1420,koribo,as
1421,paribo,as
1422,ne,as
1423,toi,as
1424,u,en
1425,flirt,en
1426,koro,as
1427,v,as
1428,aah,as
1429,at,en
1430,last,en
1431,nimki,as
1432,gunda,as
1433,s,as
1434,gf,en
1435,d,as
1436,d,as
1437,led,en
1438,relax,en
1439,er,as
1440,official,en
1441,notification,en
1442,ta,as
1443,kobe,as
1444,dibo,as
1445,naam,as
1446,koisi,as
1447,amar,as
1448,aager,as
1449,comment,en
1450,e,as
1451,dekhi,as
1452,lao,as
1453,adin,as
1454,haga,as
1455,lagisil,as
1456,jurke,as
1457,tetia,as
1458,traffic,en
1459,rule,en
1460,bhangisilu,as
1461,family,en
1462,tree,en
1463,of,en
1464,mahapurush,as
1465,srimanta,as
1466,sankar,as
1467,deva,as
1468,tqf,en
1469,assam,ne
1470,st,en
1471,target,en
1472,professional,en
1473,qualification,en
1474,relaxation,en
1475,for,en
1476,fresh,en
1477,recruitment,en
1478,nd,en
1479,job,en
1480,job,en
1481,job,en
1482,or,as
1483,cuts,en
1484,of,en
1485,or,as
1486,something,en
1487,just,en
1488,dsission,en
1489,pending,en
1490,seba,as
1491,ahsec,as
1492,sucks,en
1493,n,as
1494,gauhati,as
1495,university,en
1496,fucks,en
1497,its,en
1498,been,en
1499,years,en
1500,i,en
1501,dint,en
1502,get,en
1503,my,en
1504,paper,en
1505,reevaluation,en
1506,result,en
1507,they,en
1508,even,en
1509,lost,en
1510,my,en
1511,original,en
1512,marksheet,en
1513,n,en
1514,reluctant,en
1515,to,en
1516,issue,en
1517,new,en
1518,one,en
1519,i,en
1520,simply,en
1521,gave,en
1522,up,en
1523,just,en
1524,want,en
1525,to,en
1526,bomb,en
1527,n,en
1528,burn,en
1529,the,en
1530,g,as
1531,u,en
1532,a,en
1533,block,en
1534,mam,as
1535,a,en
1536,j,as
1537,sunse,as
1538,take,en
1539,share,en
1540,korse,as
1541,amar,as
1542,sathe,as
1543,uitate,as
1544,erokom,as
1545,emon,as
1546,tensn,as
1547,luite,as
1548,knu,as
1549,proyjn,as
1550,nei,as
1551,frnds,en
1552,ami,as
1553,eksathe,as
1554,ase,as
1555,so,en
1556,nijor,as
1557,manus,as
1558,vabia,as
1559,kotha,as
1560,eta,as
1561,bolse,as
1562,its,en
1563,ok,as
1564,guys,en
1565,relax,en
1566,bt,en
1567,mur,as
1568,usrt,en
1569,je,as
1570,khn,as
1571,india,as
1572,map,en
1573,ase,as
1574,tatu,as
1575,delhi,as
1576,indiat,as
1577,dkhai,as
1578,hey,en
1579,boy,en
1580,this,en
1581,girl,en
1582,will,en
1583,ruin,en
1584,u,en
1585,fr,en
1586,sure,en
1587,stay,en
1588,away,en
1589,frm,en
1590,her,en
1591,bro,as
1592,be,en
1593,safe,en
1594,choose,en
1595,ur,en
1596,girl,en
1597,wisely,en
1598,story,en
1599,bur,as
1600,vaal,as
1601,hoi,as
1602,dei,as
1603,but,en
1604,kiba,as
1605,ata,as
1606,vaal,as
1607,nlge,as
1608,sabole,as
1609,and,en
1610,aji,as
1611,sbo,as
1612,nuarim,as
1613,aijonik,as
1614,mur,as
1615,xojyo,as
1616,nhoi,as
1617,aibr,as
1618,acting,en
1619,buli,as
1620,koi,as
1621,nki,as
1622,dnt,en
1623,wnt,en
1624,to,en
1625,critisize,en
1626,any,en
1627,jst,en
1628,itz,en
1629,my,en
1630,oppinion,as
1631,no,en
1632,offence,en
1633,lel,as
1634,be,en
1635,sonowalji,as
1636,glamorous,en
1637,life,en
1638,ata,as
1639,paise,as
1640,assam,ne
1641,r,as
1642,jijor,as
1643,karone,as
1644,pise,as
1645,atia,as
1646,rijok,as
1647,pahorile,as
1648,kiya,as
1649,kot,as
1650,gal,en
1651,election,en
1652,r,as
1653,agar,as
1654,commitment,en
1655,right,en
1656,ekta,as
1657,rail,en
1658,krrle,as
1659,bhalo,as
1660,hoibooooo,as
1661,abbe,as
1662,tumi,as
1663,main,en
1664,de,as
1665,zoo,en
1666,bonabo,as
1667,khujisa,as
1668,neke,as
1669,right,en
1670,koise,as
1671,gaont,en
1672,manuhe,as
1673,najane,as
1674,poriborton,as
1675,kia,as
1676,lage,as
1677,jodi,as
1678,ami,as
1679,sokulue,as
1680,mili,as
1681,teolokok,as
1682,bujua,as
1683,jai,as
1684,tente,as
1685,rly,en
1686,nagoleu,as
1687,bjp,ne
1688,joy,as
1689,hob,as
1690,sorov,as
1691,dev,as
1692,igu,as
1693,kigu,as
1694,olpo,as
1695,bidya,as
1696,boyonkori,as
1697,tet,as
1698,pas,as
1699,koria,as
1700,akon,as
1701,group,en
1702,o,as
1703,post,en
1704,dia,as
1705,char,as
1706,boro,as
1707,oito,as
1708,bakkirar,as
1709,taki,as
1710,compressor,en
1711,tu,as
1712,beya,as
1713,hoise,as
1714,aikarone,as
1715,v,as
1716,sir,en
1717,apune,as
1718,lakhimpuror,as
1719,airport,en
1720,road,en
1721,r,as
1722,obosta,as
1723,saok,as
1724,he,as
1725,sun,as
1726,nl,as
1727,clg,en
1728,road,en
1729,saok,as
1730,he,as
1731,sun,as
1732,tar,as
1733,pesot,as
1734,science,en
1735,mur,as
1736,expricer,en
1737,falor,as
1738,pora,as
1739,koisu,as
1740,suali,as
1741,bhal,as
1742,nhoy,as
1743,ekdint,as
1744,prem,as
1745,nhye,as
1746,bl,as
1747,toi,as
1748,hopune,as
1749,dekhili,as
1750,nki,as
1751,politicians,en
1752,should,en
1753,imitate,en
1754,proper,en
1755,use,en
1756,of,en
1757,social,en
1758,media,en
1759,like,en
1760,seen,en
1761,in,en
1762,the,en
1763,works,en
1764,of,en
1765,sushma,as
1766,swaraj,as
1767,and,en
1768,suresh,as
1769,prabhu,as
1770,just,en
1771,one,en
1772,tweet,en
1773,and,en
1774,help,en
1775,is,en
1776,there,en
1777,hope,en
1778,our,en
1779,new,en
1780,cm,en
1781,adapts,en
1782,that,en
1783,too,en
1784,hopeless,en
1785,nrc,ne
1786,hopeless,en
1787,web,en
1788,link,en
1789,just,en
1790,ridiculous,en
1791,showing,en
1792,oops,as
1793,nonsense,en
1794,sala,as
1795,stupid,en
1796,bilak,as
1797,ok,as
1798,appoint,en
1799,koriche,as
1800,st,en
1801,july,ne
1802,loike,as
1803,ei,as
1804,kaam,as
1805,complete,en
1806,nohobo,as
1807,okkol,as
1808,showism,en
1809,ot,as
1810,he,as
1811,ache,en
1812,iyak,as
1813,koy,as
1814,bohbha,as
1815,rombhe,as
1816,loghu,as
1817,kriya,as
1818,notice,en
1819,for,en
1820,extension,en
1821,of,en
1822,validity,en
1823,of,en
1824,tet,as
1825,certificates,en
1826,tqf,en
1827,assam,ne
1828,axar,as
1829,rengoni,as
1830,amak,as
1831,kebol,as
1832,axahe,as
1833,dse,as
1834,nke,as
1835,haha,as
1836,that,en
1837,was,en
1838,really,en
1839,funny,en
1840,moi,as
1841,bhabilu,as
1842,aei,as
1843,lora,as
1844,tu,as
1845,kor,as
1846,pora,as
1847,ulal,as
1848,tet,as
1849,o,as
1850,pass,en
